,Hunt Choice,Weakest Link Choice
656641400551b87c721e6fc3,Hunt hare,5
5ff501a5c92b36cd57eb1bc1,Hunt stag,7
5e3461bd8ec4fc0230fef43a,Hunt stag,7
6565f8765ec125a5ff77a5ba,Hunt stag,7
6339d248a31798529a8cf2e4,Hunt hare,7
5e3a058510f1a622d69d2881,Hunt hare,1
6564e143b65aad826f6cdf7a,Hunt stag,4
5686e598369319000b268e63,Hunt hare,1
5c3282eb47817b0001581512,Hunt stag,4
5cf31154eed13700013c1417,Hunt stag,6
5c4fa169ee5ae100010a2057,Hunt hare,7
5d30eee5e7ca2e001bd4091b,Hunt hare,6
5fb1ed28e6d35874d598b740,Hunt stag,7
646bbb2b727f660f5ec8f1c9,Hunt stag,6
656607b0de809871a577ac96,Hunt stag,4
63bda53b525aeabb92ddd6ec,Hunt stag,4
5e03acb6398bb6e8d98855b6,Hunt stag,7
57a2caf8275be6000135b3aa,Hunt hare,7
62d560526bd2941f33c9dad6,Hunt stag,4
5e98ae20be425f0e61330c39,Hunt stag,4
