,Hunt Choice,Weakest Link Choice
60ff723ca9d36734a272bd17,Hunt hare,7
614e497939b9b53a6013f7b0,Hunt hare,3
60d905d968d5d28e18ee58a1,Hunt stag,4
5caf87816ef0d100017611c4,Hunt hare,1
617612aa86abe09e0c69b7f2,Hunt stag,6
5e0777b6814bba1033f6a396,Hunt hare,7
6562a8836e59ef440f007229,Hunt stag,7
654cede3e7e7f75c59cc6064,Hunt stag,7
5fc54a4839204604d13affd5,Hunt stag,3
6111735eaf7cead6ae8e2b8b,Hunt stag,4
61575bacd55c569c0dee872f,Hunt stag,3
62fd20eea4b9216ae42bacc6,Hunt hare,7
599ba05e05a0e30001f20344,Hunt hare,1
65654d89443092badedb7c03,Hunt hare,2
5bd7cf3f3dac81000124bbcd,Hunt stag,7
5dd034d1fce606114e3bb8e0,Hunt stag,7
60efa510e3cdfbbf4d7c355b,Hunt stag,7
653913d2a261d24c68370845,Hunt stag,6
54afe839fdf99b6f2c1214ce,Hunt stag,7
61699743bb6d44b1d978e630,Hunt stag,7
