,Hunt Choice,Weakest Link Choice
5bb9f9dad5330e000101a241,Hunt hare,1
64136140e1cce438bf993257,Hunt hare,1
6315a6e79ee2ce17a350a08a,Hunt hare,1
5f9b597effdbc2383f50e42f,Hunt stag,5
5e89533c4d3d675e800bfc7c,Hunt stag,7
612597436eff2c3e15310f3f,Hunt stag,3
65602b114d91f764e2a42ec2,Hunt stag,7
6547e851a5ff72124cb9fb1d,Hunt hare,7
5f9c755c87a954121022de9e,Hunt stag,4
604b9e6373c491acd8aec923,Hunt stag,2
5e69987e0873d600084bc920,Hunt stag,1
5f8adfc098514819aa26381f,Hunt hare,7
5cacd539c8e337001dbf3bd1,Hunt stag,7
655780dccd5e0509a5df230f,Hunt stag,4
55affaf6fdf99b511b4fce1a,Hunt stag,7
656550235189b3b8bd39f3b8,Hunt stag,7
5748077a5e5491000e3bf711,Hunt stag,4
54af2a48fdf99b09c01b3801,Hunt stag,4
6556b6e6f5259aeca4bf5127,Hunt stag,6
5e84c817507cd3066a527e5e,Hunt stag,7
63f519601c333d44a17bb35a,Hunt hare,7
