,Hunt Choice,Weakest Link Choice
5589a309fdf99b7ae5007c33,Hunt stag,7
65047b2a7db823fd627efad7,Hunt stag,4
6533e310e09ad32adda79f77,Hunt stag,7
614e16566e663a5e419d606d,Hunt stag,6
63d7afc5862cf407d8462372,Hunt stag,3
5e65c5b41e30883349a25a61,Hunt stag,4
5ae634876735bd0001d7ea3f,Hunt hare,3
628eab48a8c8dc1ecec338dd,Hunt hare,7
62869a1b7fff9c9a48fe6087,Hunt hare,7
62df0d96dbf784aa3e1c20d7,Hunt stag,7
5938e042e9b44100013ae891,Hunt stag,7
63d79678fb8c1b9072646c0a,Hunt hare,5
5cc0b9bccedf2000012afc45,Hunt stag,7
633259075c2d3571332bdae7,Hunt stag,7
6025aeaea2c27e19e096f29d,Hunt stag,7
6103a6a5b1d93e18d85a6f23,Hunt stag,7
60fe04ef652fd1fafaa4ae50,Hunt stag,7
5b70ed4b99982e000145eb7b,Hunt hare,7
6397bcc95a5e903a262566bb,Hunt stag,7
