,Hunt Choice,Weakest Link Choice
57a8abb3dcff7d0001c7d5a3,Hunt stag,7
57db16a1a4e40600014e9040,Hunt stag,6
5eb52896e034073a7b8aa981,Hunt stag,5
6131801c70f5f49c3bdf7010,Hunt stag,5
60ff83da6b1bee23abb427a4,Hunt stag,1
64d53f3f9885e325d957590d,Hunt stag,7
615d8e3f00998e6ea25548f7,Hunt stag,4
61095cf850b50fc3ae2ee248,Hunt hare,7
6066736bd2119d9d5f7232eb,Hunt stag,4
5be2f3db4616da00010def19,Hunt hare,1
5b48a9e14acd54000132a67f,Hunt hare,1
5e991aaac7bc1615ea5b3eb8,Hunt stag,6
5bef87523d79ff0001275154,Hunt hare,4
600150a39d652729f84daf83,Hunt stag,7
6564e02ee525798abc35ba1d,Hunt hare,1
63f7eb4fd0c75f760998818c,Hunt hare,3
627a67e16fde61ab21003956,Hunt stag,4
56cb15ad64c068000b4d7ca5,Hunt hare,7
5ec9cf3ed4642d4ebb802b42,Hunt stag,7
5f4bbf82fffa8779d1d4b082,Hunt stag,1
