,Hunt Choice,Weakest Link Choice
65649536de378d6c36a6266b,Hunt stag,4
59c9cda80aaf750001213e00,Hunt stag,1
63d14652689d5918c3efdb81,Hunt stag,7
654910750fecaf3485187277,Hunt hare,1
5e387f2c0d70ef099d5e5a4f,Hunt stag,7
5ca999aacf827100165119f4,Hunt stag,5
633e64bfaab0e4bed6e5307d,Hunt hare,7
5dc36b196c76b327ca120b23,Hunt stag,7
5f00aaa0b864761ce8828d1e,Hunt stag,4
5d62dd02d556f20015807921,Hunt hare,1
63d17b695a6cbbfcd1b19fdc,Hunt stag,4
60ecb502739c4b998218da12,Hunt hare,6
65600aa7ff0c0fcf0ddcda34,Hunt stag,4
62029a39ef1cb18a1337c5e3,Hunt hare,6
650602caaf8bfaea9b0ac6ae,Hunt stag,7
653bc00977833dd2acdbf79b,Hunt stag,7
61625a497ae037549b3f9e2a,Hunt stag,5
62d21a095ad69a4459f6d664,Hunt stag,3
5654171504212700054a12ad,Hunt stag,7
55b6ed4afdf99b437183fa6f,Hunt stag,7
